location,total_sqft,price,bhk
Electronic City Phase II,1400,40.43,3
Vidyaranyapura,1485,67,3
Margondanahalli,2400,82,2
Pattandur Agrahara,1025,44.5,2
other,600,65,4
other,1225,53,2
5th Phase JP Nagar,1256,62.8,2
Whitefield,2268,163,4
Kanakpura Road,1100,53,3
other,1141,62,2
Attibele,400,12,1
Chandapura,1400,60,2
other,4100,140,7
other,15,30,1
other,1175,48.27,2
Sahakara Nagar,1100,56,2
Kanakpura Road,1843,95.84,3
1st Phase JP Nagar,1200,240,8
Horamavu Banaswadi,1460,80.5,2
Rachenahalli,1530,74.5,3
HSR Layout,1467,55,2
other,950,40,1
Vittasandra,1246,64.5,2
Kanakapura,711,38,1
Haralur Road,1194,46,2
Babusapalaya,1358,43.4,3
Nagasandra,1500,130,6
Hoodi,1420,75,2
Kathriguppe,1250,68.75,3
Akshaya Nagar,1280,58,2
other,1209,50,2
other,4200,225,5
other,1215,205,4
Panathur,1315,54.8,3
other,1800,90,3
other,1600,125,5
TC Palaya,1600,65,3
other,3968,900,6
other,1563,52,3
Whitefield,1560,72,3
Brookefield,2169,115,3
other,900,170,9
Rachenahalli,1050,55.5,2
Iblur Village,3235,235,3
TC Palaya,1200,66,3
HSR Layout,1140,46,2
7th Phase JP Nagar,1500,170,3
Horamavu Agara,1560,75,3
JP Nagar,1100,70,2
Kasavanhalli,1260,40.32,3
Hebbal,1036,50,2
Akshaya Nagar,1662,85.1,3
Yelachenahalli,1464,105,3
Yelahanka,1234,80,2
Sarjapur  Road,1403,55,3
other,915,54.9,4
2nd Stage Nagarbhavi,3000,451,6
Seegehalli,1150,42.9,3
Hebbal,3900,410,4
Yeshwanthpur,850,90,5
Kanakapura,929,46,2
2nd Stage Nagarbhavi,2400,450,6
TC Palaya,1350,75,3
Vasanthapura,1135,39.73,2
other,1405,70,2
Whitefield,1200,45.84,2
Haralur Road,2805,154,4
Yeshwanthpur,1161,64.08,2
Kanakpura Road,1290,74,2
Yeshwanthpur,2557,141,3
other,1480,90,3
other,3300,500,9
Old Madras Road,1350,54.54,3
Kadugodi,1580,65,3
Banashankari,1470,88.64,3
Ananth Nagar,500,14,1
Sarjapur  Road,1346,61.92,2
other,1600,90,3
other,720,120,2
other,1200,135,4
other,1200,35,2
Channasandra,1340,48.33,3
Devanahalli,6136,560,4
Jigani,918,48,2
other,1500,115,3
Yelahanka,1315,85,2
other,2400,775,4
Uttarahalli,1390,62.55,3
Uttarahalli,1330,56,3
Jalahalli,3100,265,5
other,1824,125,3
7th Phase JP Nagar,1420,96,3
other,750,56.25,1
Jalahalli East,1260,60,3
Hennur Road,1561,95,3
5th Phase JP Nagar,812,165,9
other,1060,42,2
Hoodi,1120,145,8
Haralur Road,1225,67.38,2
Thanisandra,2144,135,3
Kengeri,1200,140,7
Electronic City,880,29,2
Hoodi,1639,110,3
Thanisandra,1240,62,3
Kanakpura Road,1500,69,2
Haralur Road,1243,46,2
Marathahalli,1575,78,3
Haralur Road,1027,44,2
Kambipura,1082,56,3
Konanakunte,1637,73,3
Kanakpura Road,1665,86.58,3
Electronic City,1265,56.93,2
Electronic City,1691,102,3
Thanisandra,1100,38,2
other,24,150,5
other,1500,62,3
Hosakerehalli,3205,380,4
Kammanahalli,1666,150,5
Choodasandra,1115,50,2
Mysore Road,1070,45,2
Indira Nagar,1128,105,2
Budigere,1162,57,2
other,1339,55,2
Mahadevpura,1192,75,2
Haralur Road,1920,115,3
Hennur,1255,52.32,2
Rajaji Nagar,1357,115,2
other,1600,75,3
other,1225,55.11,2
Whitefield,2400,200,4
Kasturi Nagar,1570,80,3
Thanisandra,1093,70,2
Basaveshwara Nagar,1865,145,3
R.T. Nagar,1200,165,6
Kaikondrahalli,1039,80,2
Vittasandra,1246,64.5,2
Whitefield,1985,75,3
Hosakerehalli,1590,49,3
other,4000,675,4
Electronic City Phase II,775,38,2
other,1000,50,2
Hebbal Kempapura,1800,175,3
Bommasandra,1035,41,2
Dasarahalli,1520,75,3
Whitefield,1360,95,2
other,6000,400,4
Kodigehaali,1117,56,2
KR Puram,1200,120,4
EPIP Zone,1330,92.5,2
Marathahalli,1937,160,3
Electronic City,1128,65.49,2
Neeladri Nagar,1053,45,2
Panathur,1198,77,2
Marathahalli,1152,56,2
1st Block Jayanagar,1200,125,6
Frazer Town,1625,75,2
Kundalahalli,1397,105,3
Yeshwanthpur,1523,170,3
Kambipura,883,45,2
Kaggalipura,700,38,1
Yelahanka,1170,62.5,2
Kanakpura Road,1200,42,3
other,2400,170,3
other,1480,65,2
Akshaya Nagar,1897,120,3
Rachenahalli,996,67,2
Haralur Road,1875,110,3
other,1500,98,3
other,3095,350,3
Ambalipura,1390,175,3
Yelahanka,1450,65.255,3
Yelahanka,697,45,1
Sarjapur  Road,710,27,1
other,910,30.5,2
Sompura,1025,48,3
Magadi Road,1000,46.5,2
Harlur,1200,244,4
Horamavu Agara,1453,46.48,3
Sarjapur  Road,3335,300,4
Thanisandra,971.5,36.435,2
Bellandur,1281,74,2
Cooke Town,565,35,1
Varthur,1024,42,2
Electronic City,1620,62,3
Whitefield,1254,40,2
Banashankari,1300,75,3
Doddakallasandra,1233,43,2
other,1200,28,1
Hosur Road,1510,105,3
Kaggalipura,950,65,2
Battarahalli,1945,97.42,3
Uttarahalli,1008,45,2
Thanisandra,1265,79,3
Hebbal,1255,77.68,3
Kanakpura Road,2689,220,4
Yelenahalli,1200,46.17,2
Sarjapur  Road,1403,51.63,3
Kudlu Gate,1535,85,3
other,1500,100,3
Chamrajpet,1475,120,3
Uttarahalli,1390,60.47,3
Raja Rajeshwari Nagar,1278,53.76,3
other,1133,55,2
other,1560,145,5
other,2900,90,5
Kogilu,1170,51.99,2
Sahakara Nagar,1200,200,3
Whitefield,1697,94.79,3
Thanisandra,1651,97.38,3
other,1560,188,3
Hennur Road,1192,60,3
OMBR Layout,1078,65,2
Kumaraswami Layout,800,105,7
Kasavanhalli,1349,78,2
Ulsoor,2300,210,9
7th Phase JP Nagar,1680,120,3
Rayasandra,1314,63,3
Garudachar Palya,1060,48.7,2
Kalyan nagar,820,39,2
Whitefield,5000,400,4
BEML Layout,2000,85,3
other,856,40,2
Rajaji Nagar,1621,130,3
ITPL,1200,68.4,3
Bannerghatta Road,1484,52.5,3
other,600,60,4
other,14000,800,4
Yelahanka New Town,500,20,1
other,485,15,1
7th Phase JP Nagar,1050,42,2
Uttarahalli,1617,66.68,3
Electronic City,550,16,2
other,1384,62.28,3
Devanahalli,1408,85,2
Uttarahalli,1150,49,2
Akshaya Nagar,1410,75,3
Kaggadasapura,2150,100,4
Koramangala,2292,275,3
Malleshwaram,2006,297,3
other,1508,70.25,3
Ramamurthy Nagar,1040,50,2
TC Palaya,1240,60,2
Kudlu Gate,1535,78,3
Lakshminarayana Pura,1180,75,2
Abbigere,2200,68,6
Bannerghatta Road,1400,78,2
Raja Rajeshwari Nagar,500,25,1
Whitefield,4800,525,4
Sarjapur  Road,1984,146,3
Whitefield,3000,250,4
Garudachar Palya,1960,160,3
Sarjapur  Road,1035,45,2
other,2150,80,4
Whitefield,1700,115,3
Hosakerehalli,3024,248,4
Tumkur Road,1586,100,3
Hennur,2264,155,3
Chikka Tirupathi,2325,120,4
Yelahanka,1120,55,2
Yelahanka,1662,67.98,3
Sarjapur  Road,1128,59,2
5th Block Hbr Layout,1200,250,6
Jigani,924,65,2
other,1600,52,3
Pai Layout,1006,35,2
Amruthahalli,1200,55,2
other,1250,62,2
other,1200,130,3
Kannamangala,957,56,2
Whitefield,1140,41,2
other,1050,67,2
Kasturi Nagar,1565,88.5,3
Whitefield,1190,57,2
Whitefield,2842,162,3
Kanakpura Road,1558.67,65,3
Electronics City Phase 1,630,39,1
Whitefield,1403,60.81,3
Kanakpura Road,1542,85,3
Haralur Road,2750,220,4
Iblur Village,3596,290,4
Kengeri Satellite Town,1635,78,3
Mysore Road,1239,53,2
Haralur Road,1194,47,2
other,1596,105,3
Channasandra,1009,38.34,2
Hosa Road,1726,81.99,3
Kudlu Gate,1535,86,3
Banashankari Stage V,1300,58.5,3
Whitefield,3100,465,4
other,1800,80,3
Binny Pete,665,50.75,1
Chamrajpet,4050,1200,9
TC Palaya,1500,100,3
other,925,48,2
Old Airport Road,3356,251,4
other,1395,63.59,2
Sonnenahalli,1415,55,3
Begur,1419,59,3
Kasavanhalli,1121,78,2
Kambipura,1082,45,3
KR Puram,1100,47,2
Hoodi,1606,89.55,3
Billekahalli,1650,88,3
other,4634,1015,3
Old Airport Road,1206,75,2
Sarjapur  Road,1495,64,3
Malleshwaram,840,195,8
Electronic City,710,16,2
Balagere,1210,72,2
Nagarbhavi,1523,53.4,3
Whitefield,1232,45,2
Rachenahalli,680,44,1
Hebbal,1355,83.87,3
Thanisandra,1430,51.46,3
Kothannur,1275,43.85,3
Electronic City,1070,56.1,2
other,1200,85,3
Electronic City,2000,120,4
Bommanahalli,1200,40,2
Marathahalli,1610,90,3
Haralur Road,1140,43,2
Raja Rajeshwari Nagar,1143,38.65,2
Jakkur,3467.86,249,4
Rachenahalli,1530,74.4,3
7th Phase JP Nagar,980,69,2
Whitefield,1485,65,3
Whitefield,1500,130,3
Whitefield,1280,75,2
Thanisandra,1265,85,2
other,1132,67,2
other,1262,63,2
JP Nagar,940,49,2
other,1515,88,3
Jigani,1300,150,3
Kothanur,1840,69,3
Electronic City,890,45,2
other,1655,86.06,3
Hennur Road,2060,149,3
Bommanahalli,1730,96,3
Yelahanka,2195,127,3
Kathriguppe,1650,125,3
KR Puram,1200,71,2
Hosa Road,1079,32.37,2
Panathur,1085,36,2
other,5000,299,7
Yelahanka,1075,51.5,2
other,1380,80,2
other,1450,65,3
Thubarahalli,1200,78,2
Benson Town,3200,350,3
Hoodi,1639,98.32,3
other,1200,54,2
Vijayanagar,1739,116,3
other,4346,500,4
Old Madras Road,935,32.72,2
Thanisandra,510,25.25,1
other,1200,180,6
other,1178,47,2
Chikkalasandra,1375,50,3
Chandapura,1065,33,3
2nd Phase Judicial Layout,1450,50.75,3
BEML Layout,999,45,2
Amruthahalli,4400,475,2
Marathahalli,1350,135,5
Kothannur,1100,40,2
Koramangala,1835,155,3
Hoodi,2090,95.1,4
Lingadheeranahalli,1519,93,3
Dommasandra,1267,56,3
Sanjay nagar,1150,72.2,2
Marathahalli,1146,70,2
other,1200,235,8
Kannamangala,1550,65,3
Chandapura,850,18.5,2
other,2200,187,3
other,3329,330,3
Electronics City Phase 1,785,55,1
Hebbal Kempapura,2900,300,3
Raja Rajeshwari Nagar,1610,74,3
Bellandur,921,40,2
Kengeri Satellite Town,850,95,3
Bannerghatta Road,2700,158,5
Sarjapur  Road,1700,110,3
Sarjapur,1020,35,2
Billekahalli,1090,52,2
other,3600,300,4
Haralur Road,1027,44,2
Thanisandra,1185,42.1,2
Doddathoguru,850,25,2
Harlur,1197,84,2
other,3500,450,4
Poorna Pragna Layout,920,39.55,2
Raja Rajeshwari Nagar,1105,65,2
Yeshwanthpur,1850,100,3
Judicial Layout,1300,64,3
other,1595,76,3
Kodihalli,3073,696,4
Horamavu Agara,755,37.49,2
Nagasandra,4050,140,5
Kanakpura Road,1300,69,3
Bannerghatta Road,1215,50,2
Kanakpura Road,900,46,2
Banashankari Stage III,1145,58.4,2
other,1093,65,2
Babusapalaya,1213,41.39,3
Bannerghatta Road,1654,100,3
NGR Layout,1105,52.48,2
Babusapalaya,1611,66,3
other,1367,62,2
Devanahalli,1010,51,2
other,750,75,3
other,1535,95,3
Anekal,620,22,2
Horamavu Agara,982,47.65,2
Banashankari Stage II,1700,150,2
Whitefield,1330,71,2
JP Nagar,2500,135,3
Poorna Pragna Layout,1475,58.99,3
Bhoganhalli,1410,65,3
Yelahanka New Town,440,16.5,1
Yelahanka,1614,95,3
Neeladri Nagar,1363,68,2
Kogilu,650,28,2
other,1015,45,2
Horamavu Banaswadi,1156,46,2
other,1100,62.7,2
KR Puram,1455,46,3
other,930,45,2
other,1650,80,3
KR Puram,1200,90,2
other,700,150,1
Karuna Nagar,2900,135,4
Kadugodi,1890,127,3
other,2197,280,3
Hebbal Kempapura,3522,380,3
other,1240,46,3
HRBR Layout,1440,98,2
Kodichikkanahalli,650,38,1
Budigere,764,32,1
Sector 7 HSR Layout,900,90,5
Raja Rajeshwari Nagar,1693,57.39,3
Hoodi,1445,65,3
Kanakpura Road,900,45,2
Singasandra,1030,55,2
Yelahanka,1381,52.48,3
other,1100,60,2
Hoodi,1575,66.39,3
Thigalarapalya,1200,65,2
Begur Road,1200,43.2,2
Kasturi Nagar,1080,80,2
Hebbal Kempapura,2280,200,5
Akshaya Nagar,1360,85,3
Jakkur,1865,124,3
Sarjapur  Road,1157,75,3
Kammasandra,674,29,2
Whitefield,1405,78,3
Begur Road,1160,44.08,2
other,1600,172,4
Hebbal,1790,127,3
Electronic City,1128,65.65,2
Panathur,1180,70,2
other,1450,85,3
Kengeri,340,10,1
other,2000,166,4
Rachenahalli,1050,53.5,2
Varthur,1125,40,2
Vittasandra,1246,68,2
HSR Layout,1372,61,2
Uttarahalli,1330,56,3
Binny Pete,2465,234,3
Dasarahalli,1300,55,2
other,1420,220,2
Bannerghatta,810,50,4
Channasandra,1065,35,2
other,700,27,2
Hebbal,687.325,42.72,2
other,1050,45,2
other,1250,39.5,3
Electronic City,865,42,2
Uttarahalli,1200,44,2
other,1756,100,3
Malleshwaram,750,150,9
Yelahanka,628,24,1
9th Phase JP Nagar,1200,195,7
5th Phase JP Nagar,1207,63,2
Kalena Agrahara,1765,125,3
Electronic City,1130,32.64,2
other,1532,92,3
other,1650,110,3
Horamavu Banaswadi,1200,105,4
Bhoganhalli,804.1,69.09,2
Doddathoguru,1200,75,2
Kengeri,1197,50,2
other,1200,66,2
Uttarahalli,1385,48.48,3
other,1010,148,2
Whitefield,2225,115,3
other,1180,48,2
other,1525,122,3
Ananth Nagar,1100,31.5,2
other,1435,70,3
Attibele,400,14,1
Dommasandra,1200,50,2
Whitefield,1272,95.05,2
Whitefield,1205,39,2
Kalena Agrahara,980,40,2
Malleshpalya,1225,46.86,2
Whitefield,1541,72,3
Ramagondanahalli,1610,111,3
Jalahalli,1694,125,2
other,600,75,3
Kaggalipura,950,39,2
other,1560,66,3
Chandapura,1201,27,2
Chandapura,1500,60,2
Malleshpalya,1785,75,3
Raja Rajeshwari Nagar,1258,63.53,2
Electronic City,910,42,2
Thigalarapalya,1297,112,2
Kundalahalli,1291,49,2
other,1070,42,2
Varthur,1012,66.5,2
Mahadevpura,1260,57.6,2
Sarjapur  Road,1282,72,2
Kanakpura Road,1843,92.15,3
other,2400,200,4
Chikka Tirupathi,3356,105,5
Hebbal,2790,198,4
EPIP Zone,1330,86.98,2
Konanakunte,1400,73,3
Whitefield,1192,71,2
other,1000,130,2
Thigalarapalya,1297,103,2
Sarjapur  Road,615,17.835,1
Vijayanagar,1490,100,3
Rayasandra,1373,72,3
7th Phase JP Nagar,1035,41.39,2
Kadugodi,3750,210,4
Doddakallasandra,1010,40.39,2
Sarjapur,1195,42,2
HSR Layout,1750,95,3
Malleshpalya,1052,50,2
Horamavu Banaswadi,1180,58,2
Padmanabhanagar,3680,440,5
Hormavu,2100,73,3
Hoodi,2863,140,4
Raja Rajeshwari Nagar,1128,38.24,2
Ulsoor,2700,450,3
JP Nagar,1120,33.6,2
HSR Layout,2424,90,3
other,1300,60,2
Kanakapura,1090,32.69,2
Yelahanka,2710,251,3
other,3040,180,2
Uttarahalli,1330,46.55,3
Hosur Road,1427,80.63,3
Banjara Layout,1294,48,3
Begur,1580,75,3
Uttarahalli,400,200,5
Chikka Tirupathi,1808,80.27,3
Rajaji Nagar,3516,540,4
Parappana Agrahara,1194,47,2
Kanakpura Road,900,46,2
other,1310,50,3
Kanakpura Road,900,46,2
Singasandra,3850,195,4
Kogilu,925,88,7
Yelachenahalli,2400,150,2
Koramangala,1290,100,2
Yelahanka,3770,110,6
other,1390,120,3
other,1200,72,4
Bisuvanahalli,845,33,2
Yelahanka,1537,120,3
other,1135,68,2
Hoodi,1512,75.77,3
other,900,55,2
Jigani,1230,54,3
other,1378,42.33,3
Whitefield,1277,61.3,2
Hebbal,1985,189,3
Kengeri,8000,500,5
other,1210,62,2
Yelahanka,890,40,2
JP Nagar,2550,360,9
Sarjapur,1200,110,4
Ardendale,3198,200,4
other,1464,56,3
Hebbal,2483,215,4
Begur,1550,130,4
Sarjapur  Road,4111,310,4
Electronic City,975,37.5,2
other,2500,250,3
Rajiv Nagar,1690,125,3
Hosa Road,1063,31.89,2
Cooke Town,2572,390,3
other,2200,350,3
other,1600,80,3
other,1250,39.5,3
Bommanahalli,520,19.5,1
Marathahalli,4000,212,4
Munnekollal,1390,68,3
Whitefield,1185,40,2
Sahakara Nagar,1219,48,2
Kudlu Gate,1564,92,3
Sarjapur  Road,3430,228.5,4
Hosa Road,1100,37.1,2
Kothannur,1300,60,3
Chikkabanavar,1600,80,3
Ramamurthy Nagar,1600,75,3
Hennur Road,1482,92,3
Marsur,1000,66,3
Shampura,1200,53,2
Gubbalala,600,75,3
Kengeri,1200,58,2
Kereguddadahalli,600,60,6
Nagarbhavi,2400,160,3
Marathahalli,1469,89,3
Kanakapura,551,30,1
Electronics City Phase 1,1160,52,2
Balagere,1205,78.5,2
Kasavanhalli,1550,52,3
Gubbalala,1745,125,3
AECS Layout,1028,42,2
Frazer Town,1700,180,3
Karuna Nagar,1200,34,3
Kodihalli,2700,270,3
other,1100,50,2
Ramamurthy Nagar,1200,72,2
other,1269.72,68,2
Electronic City Phase II,1266,59,2
Mysore Road,1060,62,2
other,1168,70,3
other,1552,51,2
Talaghattapura,2038.5,120,3
Attibele,500,17,1
Hulimavu,1080,43.2,2
other,2100,155,4
other,1300,65,2
Electronics City Phase 1,920,33,2
other,817,120,4
Harlur,1310,50,2
Horamavu Agara,1650,75,3
other,1515,93.93,3
Raja Rajeshwari Nagar,1157,53.8,2
other,2400,85,4
Konanakunte,3000,160,4
Basavangudi,2200,162,3
other,1243,58,2
Rachenahalli,1530,74.39,3
Judicial Layout,2070,162,3
Yelahanka,1815,82,3
Sarjapur  Road,3900,300,4
Electronic City Phase II,1000,28.88,2
Ananth Nagar,982,24.55,2
Hennur Road,1232,89,2
Binny Pete,1282,178,3
Yelahanka,654,38.4,1
Bannerghatta Road,1181,55,2
Bisuvanahalli,1075,45,3
2nd Stage Nagarbhavi,1200,245,4
other,1616,75,3
other,1800,44.5,5
other,1200,135,6
Whitefield,1306,54.65,3
Whitefield,1626,89,3
other,2700,214,6
Whitefield,1585,88,3
7th Phase JP Nagar,1370,56.17,2
Whitefield,3250,900,5
Kanakpura Road,1495,90,2
other,2000,210,3
other,2400,300,5
Bannerghatta,1375,57,3
Old Madras Road,3715,224.5,4
Kereguddadahalli,1400,48,3
Kadugodi,1100,135,5
Whitefield,665,28.585,1
Hebbal Kempapura,1200,215,4
Yelahanka,1150,46,2
Hebbal,1080,54,2
Kaikondrahalli,1645,100,3
other,1760,176,3
other,595,42,1
Bommenahalli,1200,125,3
JP Nagar,4624.5,314.5,4
other,1410,67,2
other,1090,31.48,2
Ramagondanahalli,540,30,1
Sarjapur  Road,1300,60,2
9th Phase JP Nagar,1890,85,3
other,1254,53,2
other,2800,125,7
Ulsoor,1275,120,2
Kathriguppe,1245,68.48,3
other,1170,86,2
Panathur,1193,86,2
Chandapura,850,25.4,2
Marathahalli,1678,70,3
Gunjur,1600,75,3
Electronics City Phase 1,1750,84,3
Whitefield,1125,62,2
other,2200,235,4
HBR Layout,2800,200,3
R.T. Nagar,1200,120,2
other,1000,50,2
other,2780,480,4
Electronic City Phase II,1320,38.13,3
other,8000,230,27
Ardendale,2422,160,4
Kasavanhalli,1100,50,2
Uttarahalli,882,30,2
Bisuvanahalli,845,37,2
Kambipura,883,39,2
Thanisandra,776.5,48.145,1
Brookefield,1595,88,3
Whitefield,1280,85,2
other,1700,550,4
other,920,35,2
Choodasandra,1300,57,2
other,1450,230,2
Harlur,1757,132,3
Anekal,600,16.5,1
other,2400,142,4
Sarjapur,1240,44,2
other,750,90,10
EPIP Zone,1330,93.36,2
8th Phase JP Nagar,1062,42.47,2
JP Nagar,1078,45,2
Bannerghatta Road,1460,72,3
Whitefield,1200,68.5,3
Laggere,1200,48,1
Kammasandra,912,39,3
other,2400,625,5
Prithvi Layout,2028,162,4
Mysore Road,980,45.47,2
Sarjapur  Road,1000,40,2
Sarjapur  Road,1050,62,2
Bannerghatta,2611,239,3
Domlur,1875,150,3
Hennur Road,1065,42.6,2
Sanjay nagar,1800,180,3
Sector 7 HSR Layout,1163,98.86,2
Tumkur Road,1098,72,2
5th Phase JP Nagar,1725,100,3
Whitefield,4000,330,4
Thubarahalli,1128,75,2
other,1320,200,8
Yelahanka,1705,74.16,3
Thigalarapalya,1418,95,2
Ramamurthy Nagar,1500,160,3
Hebbal,1100,50,2
other,1464,56,3
Hebbal,812,55,2
Binny Pete,2817.5,204,4
other,1280,40,2
Whitefield,1420,136,2
other,1200,170,11
other,727,66,6
Banashankari Stage II,1200,150,4
Old Airport Road,2774,207,4
other,2000,85,3
HBR Layout,1722,95,3
Indira Nagar,2800,330,3
other,1650,175,3
other,840,27,2
Jigani,914,47,2
Hennur Road,1482,83.73,3
Kundalahalli,1724,127,3
other,1670,91.86,3
Banaswadi,1184,53,2
Kodigehaali,1200,55,2
TC Palaya,1200,65,2
Jigani,927,55,2
other,1242,39.7,2
Electronic City Phase II,1220,35.23,3
Electronic City,1360,75,3
Brookefield,2800,240,4
7th Phase JP Nagar,1180,72,2
Whitefield,1697,108,3
Yelahanka New Town,550,26,2
Hennur,1225,57,2
other,1690,55,3
other,1660,475,10
other,1488,57,3
other,1250,80,3
JP Nagar,1050,44,1
HSR Layout,1027,44,2
Kanakpura Road,1699,81.94,3
Whitefield,1205,58,2
other,712,67.5,4
Horamavu Agara,950,39,2
TC Palaya,1200,70,2
Akshaya Nagar,1476,120,3
CV Raman Nagar,1070,55,2
EPIP Zone,2160,172,3
Sector 2 HSR Layout,1296,75,2
Chikkalasandra,1800,128,2
Kanakpura Road,1570,64.5,3
Koramangala,1300,110,2
Sarjapur,1550,65,4
Electronic City,770,40,2
Jalahalli,1870,110,3
other,1650,160,3
Domlur,1429,86,3
Babusapalaya,1167,39.98,3
Bommasandra,1035,41.73,2
Kengeri,1188,38,3
2nd Stage Nagarbhavi,1200,285,5
Nagarbhavi,884,36,1
Haralur Road,1194,46,2
Hoodi,1026,60.87,2
Shivaji Nagar,1400,200,7
Kaikondrahalli,1115,50,2
Hebbal Kempapura,1200,125,2
Old Airport Road,2690,191,4
Subramanyapura,975,58,2
Hosa Road,675,72.5,3
Chamrajpet,1900,170,4
Banashankari,600,100,3
OMBR Layout,1101,65.5,2
Sarjapur  Road,1700,135,3
Whitefield,3606,312,4
Padmanabhanagar,1258,115,2
Kanakpura Road,1560,92,3
Old Madras Road,3630,195,4
JP Nagar,2000,250,3
Hebbal,2790,198,4
Badavala Nagar,1494,94.55,3
Hennur Road,1482,87,3
other,800,50,2
Raja Rajeshwari Nagar,1185,47.39,2
Hulimavu,1100,71.5,2
NRI Layout,1300,120,2
other,1225,150,2
Hulimavu,1758,65,3
Banaswadi,1145,55,2
Hormavu,1180,50,2
other,1260,58,2
Yelahanka,3461,173,4
Arekere,1190,55,2
Sarjapur  Road,1691,119,3
other,3675,367,4
Frazer Town,1305,95.45,3
Basavangudi,2337,292,3
other,1200,150,2
Domlur,1206,217,2
other,1350,130,5
Kogilu,1140,50.66,2
other,1250,65,2
other,600,60,3
other,1225,48,2
Kereguddadahalli,800,28,2
Jalahalli East,1020,58,2
TC Palaya,2100,50,4
other,1350,80,2
Anekal,925,40,2
Yelachenahalli,1800,220,4
other,2000,100,3
Frazer Town,1510,75,3
Kasavanhalli,5800,1200,5
other,1614,110,3
Yeshwanthpur,682,130,3
Gottigere,1200,95,2
TC Palaya,900,55,2
Bommenahalli,1632,145,4
OMBR Layout,1041,65.5,2
7th Phase JP Nagar,5080,450,6
Bannerghatta,3012,250,4
Marathahalli,1530,74.5,3
Sector 2 HSR Layout,1450,135,3
Bannerghatta Road,1200,75,2
Sahakara Nagar,1200,130,4
Hosur Road,1508,110,3
other,600,106,7
other,1188,73,2
Old Airport Road,2690,199,4
Harlur,1174,76,2
Old Madras Road,1350,58.99,3
Frazer Town,1870,185,3
Kengeri Satellite Town,1072,25,2
other,52272,140,3
Kengeri,726,31,2
Hosur Road,1345,106,2
Begur Road,1200,45,2
Nagavarapalya,980,37,2
Hormavu,1050,77,2
Uttarahalli,993,39.71,2
7th Phase JP Nagar,1300,52,3
Vittasandra,1743,85,3
Whitefield,1204,125,4
Hormavu,1200,67,2
other,1480,90,3
Sarjapur,950,32.5,2
Domlur,640,55,1
Electronic City Phase II,972,44,2
Marathahalli,1840,98,3
Electronic City,1128,64,2
other,680,42,2
other,2400,95,2
other,1045,42,2
other,955,53.55,2
Doddakallasandra,1360,54.39,3
BTM Layout,1150,63,2
Hennur Road,3450,294,4
other,1115,56.87,2
Jigani,920,46,2
Bommasandra Industrial Area,1030,41,2
Thanisandra,1564,101,3
Uttarahalli,1045,45,2
Hegde Nagar,1200,83,4
Subramanyapura,1277,55,2
other,2479.13,215,3
Sarjapur  Road,1846,140,3
other,1100,106,2
other,1690,75,3
Hormavu,1200,70,2
Yelahanka,3042,131,4
Rajaji Nagar,1640,223,3
other,1068,40.05,2
Kanakpura Road,1135,58,2
other,1925,120,3
Begur Road,1615,60,3
other,650,26,1
other,1200,120,9
Kaggadasapura,1150,42,2
Kothannur,930,135,6
other,1410,45.12,3
6th Phase JP Nagar,600,100,3
other,2000,207,3
Tumkur Road,1354,90,3
other,1050,110,2
Arekere,600,28,1
Varthur,1320,110,4
Koramangala,1600,88,3
Kanakpura Road,3500,225,4
GM Palaya,1000,36,2
other,1130,38,3
Vittasandra,1238,67,2
other,2204,305,3
KR Puram,1200,110,8
Kudlu Gate,1364,46.38,3
other,900,45,2
Gubbalala,1745,104,3
Kogilu,1200,53.33,2
Kanakapura,1020,42.83,2
Banashankari Stage III,1650,118,3
other,1550,70,3
5th Phase JP Nagar,1440,60,2
Sarjapura - Attibele Road,1329,45.95,3
other,916,42,2
Hulimavu,688,50,1
other,1358,50,3
Kanakpura Road,1331,107,2
Malleshwaram,686,62.5,1
Hoodi,1050,50,2
Talaghattapura,2106,126,3
Bhoganhalli,1718,90.2,3
Raja Rajeshwari Nagar,1530,57,3
5th Block Hbr Layout,1206,56,2
Hebbal,1075,52,2
Sarjapur  Road,1200,95,3
other,1936,54.21,3
Nagavara,2172.65,120,4
Sahakara Nagar,1100,75,3
BTM 2nd Stage,1260,185,3
other,990,120,8
Jalahalli East,800,80,3
Sarjapur  Road,1117,29.99,2
other,1685,110,3
CV Raman Nagar,740,37,2
Chamrajpet,1080,250,4
Magadi Road,1500,93,4
Banashankari,1800,115,3
Yelachenahalli,1700,130,3
Uttarahalli,850,37.93,2
Hennur Road,1891,139,3
Jalahalli,1400,80,2
Lakshminarayana Pura,1172,82,2
Electronic City Phase II,1400,40.43,3
Sonnenahalli,896,43.75,2
Vijayanagar,1180,65,2
Basaveshwara Nagar,2460,350,7
other,850,33,2
Anekal,530,18,1
other,1550,110,3
Kanakapura,1699,97,3
Bellandur,2025,109,4
Ananth Nagar,500,14,1
other,500,20,1
other,1146,38.5,2
Malleshwaram,2475,332,3
Haralur Road,1455,145,2
Seegehalli,800,50,2
Abbigere,765,30,1
Lingadheeranahalli,1521,94.99,3
Gottigere,1600,55,3
other,3155,370,3
Hebbal Kempapura,2900,240,3
other,1765,105,3
Kasavanhalli,1980,88,3
Amruthahalli,1900,135,3
other,1265,70,2
Bommasandra,1034,40,2
other,1012,59,2
Electronic City,1070,54,2
Mahadevpura,3555,230,4
